2022-11-11 16:24:58,732 | root       | MainProcess  | <module> | INFO  | reading json data
2022-11-11 16:24:58,732 | root       | MainProcess  | <module> | INFO  | reading json data completed
2022-11-11 16:24:58,778 | root       | MainProcess  | qc_pre_check | INFO  | Pre_check operation started
2022-11-11 16:24:58,799 | root       | MainProcess  | qc_check | INFO  | Reading csv file started at C:\Users\ParulShrikhande\Desktop\dq_checks_file\sales_data.csv
2022-11-11 16:24:58,799 | root       | MainProcess  | qc_check | INFO  | Total number of records present in above path are (2823, 25)
2022-11-11 16:24:58,801 | root       | MainProcess  | run_checks_in_parallel | INFO  | QC for column_values_to_be_unique check started
2022-11-11 16:24:58,803 | root       | MainProcess  | run_checks_in_parallel | INFO  | GE function generated - ge_df.expect_column_values_to_be_unique('ORDERNUMBER',result_format = 'COMPLETE')
2022-11-11 16:24:58,808 | root       | MainProcess  | run_checks_in_parallel | INFO  | QC for column_values_to_be_unique check has been FAIL
2022-11-11 16:24:58,811 | root       | MainProcess  | qc_check | INFO  | Total number of bad records are 2807
2022-11-11 16:24:58,830 | root       | MainProcess  | qc_check | INFO  | Total number of good records are 16
2022-11-11 16:24:58,834 | root       | MainProcess  | qc_pre_check | INFO  | Pre_check operation completed
2022-11-11 16:24:58,867 | root       | MainProcess  | qc_post_check | INFO  | Post_check operation started
2022-11-11 16:24:58,914 | root       | MainProcess  | qc_check | ERROR | error in qc_check function.
2022-11-11 16:24:58,914 | root       | MainProcess  | qc_post_check | ERROR | error in qc_post_check function.
